stage_history_id,opportunity_id,stage_name,entered_at
SH0001551,OPP000280,Discovery,2026-04-11
SH0001552,OPP000280,Demo,2026-04-20
SH0001553,OPP000280,Proposal,2026-04-29
SH0001554,OPP000280,Negotiation,2026-05-08
SH0001555,OPP000280,Closed Lost,2026-05-17
SH0001556,OPP000281,Prospecting,2025-04-07
SH0001557,OPP000281,Discovery,2025-04-18
SH0001558,OPP000281,Demo,2025-04-29
SH0001559,OPP000281,Proposal,2025-05-10
SH0001560,OPP000281,Negotiation,2025-05-21
SH0001561,OPP000281,Closed Lost,2025-06-01
SH0001562,OPP000282,Prospecting,2025-12-09
SH0001563,OPP000282,Discovery,2025-12-17
SH0001564,OPP000282,Demo,2025-12-25
SH0001565,OPP000282,Proposal,2026-01-02
SH0001566,OPP000282,Negotiation,2026-01-10
SH0001567,OPP000282,Closed Won,2026-01-18
SH0001568,OPP000283,Prospecting,2024-12-20
SH0001569,OPP000283,Demo,2025-01-25
SH0001570,OPP000283,Closed Lost,2025-03-02
SH0001571,OPP000284,Prospecting,2025-09-02
SH0001572,OPP000284,Demo,2025-09-30
SH0001573,OPP000284,Closed Lost,2025-10-28
SH0001574,OPP000285,Prospecting,2025-08-12
SH0001575,OPP000285,Discovery,2025-08-27
SH0001576,OPP000285,Demo,2025-09-11
SH0001577,OPP000285,Proposal,2025-09-26
SH0001578,OPP000285,Negotiation,2025-10-11
SH0001579,OPP000285,Closed Lost,2025-10-26
SH0001580,OPP000286,Prospecting,2024-09-04
SH0001581,OPP000286,Discovery,2024-09-19
SH0001582,OPP000286,Demo,2024-10-04
SH0001583,OPP000286,Proposal,2024-10-19
SH0001584,OPP000286,Negotiation,2024-11-03
SH0001585,OPP000286,Closed Won,2024-11-18
SH0001586,OPP000287,Prospecting,2025-05-11
SH0001587,OPP000287,Demo,2025-05-30
SH0001588,OPP000287,Closed Lost,2025-06-18
SH0001589,OPP000288,Prospecting,2023-08-17
SH0001590,OPP000288,Discovery,2023-09-04
SH0001591,OPP000288,Demo,2023-09-22
SH0001592,OPP000288,Proposal,2023-10-10
SH0001593,OPP000288,Negotiation,2023-10-28
SH0001594,OPP000288,Closed Lost,2023-11-15
SH0001595,OPP000289,Prospecting,2024-04-03
SH0001596,OPP000289,Discovery,2024-04-05
SH0001597,OPP000289,Demo,2024-04-07
SH0001598,OPP000289,Proposal,2024-04-09
SH0001599,OPP000289,Negotiation,2024-04-11
SH0001600,OPP000289,Closed Lost,2024-04-13
SH0001601,OPP000290,Prospecting,2026-02-22
SH0001602,OPP000290,Discovery,2026-03-06
SH0001603,OPP000290,Demo,2026-03-18
SH0001604,OPP000290,Proposal,2026-03-30
SH0001605,OPP000290,Negotiation,2026-04-11
SH0001606,OPP000290,Closed Lost,2026-04-23
SH0001607,OPP000291,Prospecting,2023-07-08
SH0001608,OPP000291,Discovery,2023-07-23
SH0001609,OPP000291,Demo,2023-08-07
SH0001610,OPP000291,Proposal,2023-08-22
SH0001611,OPP000291,Negotiation,2023-09-06
SH0001612,OPP000291,Closed Lost,2023-09-21
SH0001613,OPP000292,Prospecting,2023-06-06
SH0001614,OPP000292,Demo,2023-06-20
SH0001615,OPP000292,Closed Won,2023-07-04
SH0001616,OPP000293,Prospecting,2024-01-05
SH0001617,OPP000293,Discovery,2024-01-21
SH0001618,OPP000293,Demo,2024-02-06
SH0001619,OPP000293,Proposal,2024-02-22
SH0001620,OPP000293,Negotiation,2024-03-09
SH0001621,OPP000293,Closed Won,2024-03-25
SH0001622,OPP000294,Prospecting,2024-02-11
SH0001623,OPP000294,Discovery,2024-02-14
SH0001624,OPP000294,Demo,2024-02-17
SH0001625,OPP000294,Proposal,2024-02-20
SH0001626,OPP000294,Negotiation,2024-02-23
SH0001627,OPP000294,Closed Lost,2024-02-26
SH0001628,OPP000295,Prospecting,2024-10-26
SH0001629,OPP000295,Discovery,2024-11-09
SH0001630,OPP000295,Demo,2024-11-23
SH0001631,OPP000295,Proposal,2024-12-07
SH0001632,OPP000295,Negotiation,2024-12-21
SH0001633,OPP000295,Closed Lost,2025-01-04
SH0001634,OPP000296,Prospecting,2025-06-03
SH0001635,OPP000296,Discovery,2025-06-07
SH0001636,OPP000296,Demo,2025-06-11
SH0001637,OPP000296,Proposal,2025-06-15
SH0001638,OPP000296,Negotiation,2025-06-19
SH0001639,OPP000296,Closed Lost,2025-06-23
SH0001640,OPP000297,Prospecting,2025-11-03
SH0001641,OPP000297,Discovery,2025-11-13
SH0001642,OPP000297,Demo,2025-11-23
SH0001643,OPP000297,Proposal,2025-12-03
SH0001644,OPP000297,Negotiation,2025-12-13
SH0001645,OPP000297,Closed Lost,2025-12-23
SH0001646,OPP000298,Prospecting,2026-03-01
SH0001647,OPP000298,Discovery,2026-03-09
SH0001648,OPP000298,Demo,2026-03-17
SH0001649,OPP000298,Proposal,2026-03-25
SH0001650,OPP000298,Negotiation,2026-04-02
SH0001651,OPP000298,Closed Lost,2026-04-10
SH0001652,OPP000299,Prospecting,2025-05-10
SH0001653,OPP000299,Discovery,2025-05-13
SH0001654,OPP000299,Demo,2025-05-16
SH0001655,OPP000299,Proposal,2025-05-19
SH0001656,OPP000299,Negotiation,2025-05-22
SH0001657,OPP000299,Closed Won,2025-05-25
SH0001658,OPP000300,Prospecting,2026-05-24
SH0001659,OPP000301,Prospecting,2023-07-30
SH0001660,OPP000301,Discovery,2023-08-07
SH0001661,OPP000301,Demo,2023-08-15
SH0001662,OPP000301,Proposal,2023-08-23
SH0001663,OPP000301,Negotiation,2023-08-31
SH0001664,OPP000301,Closed Lost,2023-09-08
SH0001665,OPP000302,Prospecting,2025-05-04
SH0001666,OPP000302,Discovery,2025-05-21
SH0001667,OPP000302,Demo,2025-06-07
SH0001668,OPP000302,Proposal,2025-06-24
SH0001669,OPP000302,Negotiation,2025-07-11
SH0001670,OPP000302,Closed Lost,2025-07-28
SH0001671,OPP000303,Prospecting,2026-04-14
SH0001672,OPP000303,Discovery,2026-05-03
SH0001673,OPP000303,Demo,2026-05-22
SH0001674,OPP000303,Proposal,2026-06-10
SH0001675,OPP000303,Negotiation,2026-06-29
SH0001676,OPP000304,Prospecting,2023-08-03
SH0001677,OPP000304,Discovery,2023-08-18
SH0001678,OPP000304,Demo,2023-09-02
SH0001679,OPP000304,Proposal,2023-09-17
SH0001680,OPP000304,Negotiation,2023-10-02
SH0001681,OPP000304,Closed Lost,2023-10-17
SH0001682,OPP000305,Prospecting,2025-09-21
SH0001683,OPP000305,Discovery,2025-10-07
SH0001684,OPP000305,Demo,2025-10-23
SH0001685,OPP000305,Proposal,2025-11-08
SH0001686,OPP000305,Negotiation,2025-11-24
SH0001687,OPP000305,Closed Lost,2025-12-10
SH0001688,OPP000306,Prospecting,2024-12-08
SH0001689,OPP000306,Discovery,2024-12-25
SH0001690,OPP000306,Demo,2025-01-11
SH0001691,OPP000306,Proposal,2025-01-28
SH0001692,OPP000306,Negotiation,2025-02-14
SH0001693,OPP000306,Closed Lost,2025-03-03
SH0001694,OPP000307,Prospecting,2025-08-18
SH0001695,OPP000307,Discovery,2025-09-02
SH0001696,OPP000307,Demo,2025-09-17
SH0001697,OPP000307,Proposal,2025-10-02
SH0001698,OPP000307,Negotiation,2025-10-17
SH0001699,OPP000307,Closed Won,2025-11-01
SH0001700,OPP000308,Prospecting,2026-04-13
SH0001701,OPP000308,Discovery,2026-05-19
SH0001702,OPP000308,Demo,2026-06-24
SH0001703,OPP000309,Prospecting,2025-07-02
SH0001704,OPP000309,Discovery,2025-07-13
SH0001705,OPP000309,Demo,2025-07-24
SH0001706,OPP000309,Proposal,2025-08-04
SH0001707,OPP000309,Negotiation,2025-08-15
SH0001708,OPP000309,Closed Lost,2025-08-26
SH0001709,OPP000310,Prospecting,2024-02-25
SH0001710,OPP000310,Demo,2024-03-23
SH0001711,OPP000310,Closed Lost,2024-04-19
SH0001712,OPP000311,Prospecting,2025-08-02
SH0001713,OPP000311,Discovery,2025-08-19
SH0001714,OPP000311,Demo,2025-09-05
SH0001715,OPP000311,Proposal,2025-09-22
SH0001716,OPP000311,Negotiation,2025-10-09
SH0001717,OPP000311,Closed Lost,2025-10-26
SH0001718,OPP000312,Prospecting,2025-03-13
SH0001719,OPP000312,Discovery,2025-03-17
SH0001720,OPP000312,Demo,2025-03-21
SH0001721,OPP000312,Proposal,2025-03-25
SH0001722,OPP000312,Negotiation,2025-03-29
SH0001723,OPP000312,Closed Lost,2025-04-02
SH0001724,OPP000313,Prospecting,2024-01-11
SH0001725,OPP000313,Discovery,2024-01-17
SH0001726,OPP000313,Demo,2024-01-23
SH0001727,OPP000313,Proposal,2024-01-29
SH0001728,OPP000313,Negotiation,2024-02-04
SH0001729,OPP000313,Closed Won,2024-02-10
SH0001730,OPP000314,Prospecting,2024-02-21
SH0001731,OPP000314,Demo,2024-03-05
SH0001732,OPP000314,Closed Lost,2024-03-18
SH0001733,OPP000315,Prospecting,2023-06-19
SH0001734,OPP000315,Discovery,2023-07-03
SH0001735,OPP000315,Demo,2023-07-17
SH0001736,OPP000315,Proposal,2023-07-31
SH0001737,OPP000315,Negotiation,2023-08-14
SH0001738,OPP000315,Closed Lost,2023-08-28
SH0001739,OPP000316,Prospecting,2026-03-30
SH0001740,OPP000316,Discovery,2026-04-04
SH0001741,OPP000316,Demo,2026-04-09
SH0001742,OPP000316,Proposal,2026-04-14
SH0001743,OPP000316,Negotiation,2026-04-19
SH0001744,OPP000316,Closed Won,2026-04-24
SH0001745,OPP000317,Prospecting,2023-04-12
SH0001746,OPP000317,Discovery,2023-04-26
SH0001747,OPP000317,Demo,2023-05-10
SH0001748,OPP000317,Proposal,2023-05-24
SH0001749,OPP000317,Negotiation,2023-06-07
SH0001750,OPP000317,Closed Lost,2023-06-21
SH0001751,OPP000318,Prospecting,2023-08-09
SH0001752,OPP000318,Discovery,2023-08-25
SH0001753,OPP000318,Demo,2023-09-10
SH0001754,OPP000318,Proposal,2023-09-26
SH0001755,OPP000318,Negotiation,2023-10-12
SH0001756,OPP000318,Closed Lost,2023-10-28
SH0001757,OPP000319,Prospecting,2023-10-17
SH0001758,OPP000319,Discovery,2023-11-01
SH0001759,OPP000319,Demo,2023-11-16
SH0001760,OPP000319,Proposal,2023-12-01
SH0001761,OPP000319,Negotiation,2023-12-16
SH0001762,OPP000319,Closed Won,2023-12-31
SH0001763,OPP000320,Prospecting,2024-08-24
SH0001764,OPP000320,Discovery,2024-08-30
SH0001765,OPP000320,Demo,2024-09-05
SH0001766,OPP000320,Proposal,2024-09-11
SH0001767,OPP000320,Negotiation,2024-09-17
SH0001768,OPP000320,Closed Won,2024-09-23
SH0001769,OPP000321,Prospecting,2023-09-30
SH0001770,OPP000321,Demo,2023-10-16
SH0001771,OPP000321,Closed Lost,2023-11-01
SH0001772,OPP000322,Prospecting,2025-02-09
SH0001773,OPP000322,Discovery,2025-02-20
SH0001774,OPP000322,Demo,2025-03-03
SH0001775,OPP000322,Proposal,2025-03-14
SH0001776,OPP000322,Negotiation,2025-03-25
SH0001777,OPP000322,Closed Lost,2025-04-05
SH0001778,OPP000323,Prospecting,2023-02-19
SH0001779,OPP000323,Discovery,2023-02-25
SH0001780,OPP000323,Demo,2023-03-03
SH0001781,OPP000323,Proposal,2023-03-09
SH0001782,OPP000323,Negotiation,2023-03-15
SH0001783,OPP000323,Closed Won,2023-03-21
SH0001784,OPP000324,Prospecting,2024-04-02
SH0001785,OPP000324,Discovery,2024-04-20
SH0001786,OPP000324,Demo,2024-05-08
SH0001787,OPP000324,Proposal,2024-05-26
SH0001788,OPP000324,Negotiation,2024-06-13
SH0001789,OPP000324,Closed Lost,2024-07-01
SH0001790,OPP000325,Prospecting,2024-12-02
SH0001791,OPP000325,Discovery,2024-12-21
SH0001792,OPP000325,Demo,2025-01-09
SH0001793,OPP000325,Proposal,2025-01-28
SH0001794,OPP000325,Negotiation,2025-02-16
SH0001795,OPP000325,Closed Lost,2025-03-07
SH0001796,OPP000326,Prospecting,2025-09-01
SH0001797,OPP000326,Discovery,2025-09-11
SH0001798,OPP000326,Demo,2025-09-21
SH0001799,OPP000326,Proposal,2025-10-01
SH0001800,OPP000326,Negotiation,2025-10-11
SH0001801,OPP000326,Closed Lost,2025-10-21
SH0001802,OPP000327,Prospecting,2026-05-05
SH0001803,OPP000327,Discovery,2026-06-12
SH0001804,OPP000327,Demo,2026-07-20
SH0001805,OPP000328,Prospecting,2024-10-14
SH0001806,OPP000328,Discovery,2024-10-20
SH0001807,OPP000328,Demo,2024-10-26
SH0001808,OPP000328,Proposal,2024-11-01
SH0001809,OPP000328,Negotiation,2024-11-07
SH0001810,OPP000328,Closed Lost,2024-11-13
SH0001811,OPP000329,Prospecting,2024-11-01
SH0001812,OPP000329,Discovery,2024-11-16
SH0001813,OPP000329,Demo,2024-12-01
SH0001814,OPP000329,Proposal,2024-12-16
SH0001815,OPP000329,Negotiation,2024-12-31
SH0001816,OPP000329,Closed Won,2025-01-15
SH0001817,OPP000330,Prospecting,2025-12-23
SH0001818,OPP000330,Discovery,2026-01-01
SH0001819,OPP000330,Demo,2026-01-10
SH0001820,OPP000330,Proposal,2026-01-19
SH0001821,OPP000330,Negotiation,2026-01-28
SH0001822,OPP000330,Closed Won,2026-02-06
SH0001823,OPP000331,Prospecting,2023-08-03
SH0001824,OPP000331,Discovery,2023-08-08
SH0001825,OPP000331,Demo,2023-08-13
SH0001826,OPP000331,Proposal,2023-08-18
SH0001827,OPP000331,Negotiation,2023-08-23
SH0001828,OPP000331,Closed Lost,2023-08-28
SH0001829,OPP000332,Prospecting,2026-02-27
SH0001830,OPP000332,Discovery,2026-03-18
SH0001831,OPP000332,Demo,2026-04-06
SH0001832,OPP000332,Proposal,2026-04-25
SH0001833,OPP000332,Negotiation,2026-05-14
SH0001834,OPP000332,Closed Lost,2026-06-02
SH0001835,OPP000333,Prospecting,2024-04-29
SH0001836,OPP000333,Demo,2024-05-11
SH0001837,OPP000333,Closed Won,2024-05-23
SH0001838,OPP000334,Prospecting,2023-06-23
SH0001839,OPP000334,Discovery,2023-07-11
SH0001840,OPP000334,Demo,2023-07-29
SH0001841,OPP000334,Proposal,2023-08-16
SH0001842,OPP000334,Negotiation,2023-09-03
SH0001843,OPP000334,Closed Lost,2023-09-21
SH0001844,OPP000335,Prospecting,2025-12-24
SH0001845,OPP000335,Demo,2026-01-11
SH0001846,OPP000335,Closed Lost,2026-01-29
SH0001847,OPP000336,Prospecting,2026-06-11
SH0001848,OPP000336,Discovery,2026-07-08
SH0001849,OPP000336,Demo,2026-08-04
SH0001850,OPP000336,Proposal,2026-08-31
SH0001851,OPP000337,Prospecting,2024-01-23
SH0001852,OPP000337,Discovery,2024-02-05
SH0001853,OPP000337,Demo,2024-02-18
SH0001854,OPP000337,Proposal,2024-03-02
SH0001855,OPP000337,Negotiation,2024-03-15
SH0001856,OPP000337,Closed Lost,2024-03-28
SH0001857,OPP000338,Prospecting,2025-05-09
SH0001858,OPP000338,Discovery,2025-05-11
SH0001859,OPP000338,Demo,2025-05-13
SH0001860,OPP000338,Proposal,2025-05-15
SH0001861,OPP000338,Negotiation,2025-05-17
SH0001862,OPP000338,Closed Won,2025-05-19
SH0001863,OPP000339,Prospecting,2024-08-13
SH0001864,OPP000339,Discovery,2024-08-24
SH0001865,OPP000339,Demo,2024-09-04
SH0001866,OPP000339,Proposal,2024-09-15
SH0001867,OPP000339,Negotiation,2024-09-26
SH0001868,OPP000339,Closed Won,2024-10-07
SH0001869,OPP000340,Prospecting,2025-07-06
SH0001870,OPP000340,Discovery,2025-07-25
SH0001871,OPP000340,Demo,2025-08-13
SH0001872,OPP000340,Proposal,2025-09-01
SH0001873,OPP000340,Negotiation,2025-09-20
SH0001874,OPP000340,Closed Lost,2025-10-09
SH0001875,OPP000341,Prospecting,2024-02-02
SH0001876,OPP000341,Demo,2024-02-17
SH0001877,OPP000341,Closed Lost,2024-03-03
SH0001878,OPP000342,Prospecting,2024-07-26
SH0001879,OPP000342,Demo,2024-07-31
SH0001880,OPP000342,Closed Lost,2024-08-05
SH0001881,OPP000343,Prospecting,2026-05-06
SH0001882,OPP000343,Discovery,2026-06-04
SH0001883,OPP000343,Demo,2026-07-03
SH0001884,OPP000344,Prospecting,2023-08-14
SH0001885,OPP000344,Discovery,2023-09-02
SH0001886,OPP000344,Demo,2023-09-21
SH0001887,OPP000344,Proposal,2023-10-10
SH0001888,OPP000344,Negotiation,2023-10-29
SH0001889,OPP000344,Closed Lost,2023-11-17
SH0001890,OPP000345,Prospecting,2023-12-11
SH0001891,OPP000345,Discovery,2023-12-30
SH0001892,OPP000345,Demo,2024-01-18
SH0001893,OPP000345,Proposal,2024-02-06
SH0001894,OPP000345,Negotiation,2024-02-25
SH0001895,OPP000345,Closed Lost,2024-03-15
SH0001896,OPP000346,Prospecting,2023-07-04
SH0001897,OPP000346,Discovery,2023-07-21
SH0001898,OPP000346,Demo,2023-08-07
SH0001899,OPP000346,Proposal,2023-08-24
SH0001900,OPP000346,Negotiation,2023-09-10
SH0001901,OPP000346,Closed Won,2023-09-27
SH0001902,OPP000347,Prospecting,2025-08-25
SH0001903,OPP000347,Discovery,2025-09-12
SH0001904,OPP000347,Demo,2025-09-30
SH0001905,OPP000347,Proposal,2025-10-18
SH0001906,OPP000347,Negotiation,2025-11-05
SH0001907,OPP000347,Closed Won,2025-11-23
SH0001908,OPP000348,Prospecting,2026-05-02
SH0001909,OPP000348,Discovery,2026-06-13
SH0001910,OPP000349,Prospecting,2024-10-14
SH0001911,OPP000349,Discovery,2024-10-21
SH0001912,OPP000349,Demo,2024-10-28
SH0001913,OPP000349,Proposal,2024-11-04
SH0001914,OPP000349,Negotiation,2024-11-11
SH0001915,OPP000349,Closed Lost,2024-11-18
SH0001916,OPP000350,Prospecting,2025-06-20
SH0001917,OPP000350,Discovery,2025-06-24
SH0001918,OPP000350,Demo,2025-06-28
SH0001919,OPP000350,Proposal,2025-07-02
SH0001920,OPP000350,Negotiation,2025-07-06
SH0001921,OPP000350,Closed Lost,2025-07-10
SH0001922,OPP000351,Prospecting,2025-01-05
SH0001923,OPP000351,Discovery,2025-01-11
SH0001924,OPP000351,Demo,2025-01-17
SH0001925,OPP000351,Proposal,2025-01-23
SH0001926,OPP000351,Negotiation,2025-01-29
SH0001927,OPP000351,Closed Lost,2025-02-04
SH0001928,OPP000352,Prospecting,2023-05-29
SH0001929,OPP000352,Discovery,2023-06-10
SH0001930,OPP000352,Demo,2023-06-22
SH0001931,OPP000352,Proposal,2023-07-04
SH0001932,OPP000352,Negotiation,2023-07-16
SH0001933,OPP000352,Closed Lost,2023-07-28
SH0001934,OPP000353,Prospecting,2024-01-24
SH0001935,OPP000353,Demo,2024-02-06
SH0001936,OPP000353,Closed Won,2024-02-19
SH0001937,OPP000354,Prospecting,2025-11-17
SH0001938,OPP000354,Demo,2025-12-26
SH0001939,OPP000354,Closed Lost,2026-02-03
SH0001940,OPP000355,Prospecting,2024-11-11
SH0001941,OPP000355,Discovery,2024-11-17
SH0001942,OPP000355,Demo,2024-11-23
SH0001943,OPP000355,Proposal,2024-11-29
SH0001944,OPP000355,Negotiation,2024-12-05
SH0001945,OPP000355,Closed Lost,2024-12-11
SH0001946,OPP000356,Prospecting,2026-04-15
SH0001947,OPP000356,Discovery,2026-05-18
SH0001948,OPP000356,Demo,2026-06-20
SH0001949,OPP000357,Prospecting,2024-03-31
SH0001950,OPP000357,Discovery,2024-04-02
SH0001951,OPP000357,Demo,2024-04-04
SH0001952,OPP000357,Proposal,2024-04-06
SH0001953,OPP000357,Negotiation,2024-04-08
SH0001954,OPP000357,Closed Lost,2024-04-10
SH0001955,OPP000358,Prospecting,2024-11-25
SH0001956,OPP000358,Discovery,2024-11-29
SH0001957,OPP000358,Demo,2024-12-03
SH0001958,OPP000358,Proposal,2024-12-07
SH0001959,OPP000358,Negotiation,2024-12-11
SH0001960,OPP000358,Closed Lost,2024-12-15
SH0001961,OPP000359,Prospecting,2025-04-28
SH0001962,OPP000359,Discovery,2025-05-04
SH0001963,OPP000359,Demo,2025-05-10
SH0001964,OPP000359,Proposal,2025-05-16
SH0001965,OPP000359,Negotiation,2025-05-22
SH0001966,OPP000359,Closed Lost,2025-05-28
SH0001967,OPP000360,Prospecting,2024-04-12
SH0001968,OPP000360,Discovery,2024-04-30
SH0001969,OPP000360,Demo,2024-05-18
SH0001970,OPP000360,Proposal,2024-06-05
SH0001971,OPP000360,Negotiation,2024-06-23
SH0001972,OPP000360,Closed Lost,2024-07-11
SH0001973,OPP000361,Prospecting,2025-07-21
SH0001974,OPP000361,Discovery,2025-07-26
SH0001975,OPP000361,Demo,2025-07-31
SH0001976,OPP000361,Proposal,2025-08-05
SH0001977,OPP000361,Negotiation,2025-08-10
SH0001978,OPP000361,Closed Won,2025-08-15
SH0001979,OPP000362,Prospecting,2026-03-31
SH0001980,OPP000362,Discovery,2026-04-13
SH0001981,OPP000362,Demo,2026-04-26
SH0001982,OPP000362,Proposal,2026-05-09
SH0001983,OPP000362,Negotiation,2026-05-22
SH0001984,OPP000362,Closed Won,2026-06-04
SH0001985,OPP000363,Prospecting,2025-04-01
SH0001986,OPP000363,Discovery,2025-04-07
SH0001987,OPP000363,Demo,2025-04-13
SH0001988,OPP000363,Proposal,2025-04-19
SH0001989,OPP000363,Negotiation,2025-04-25
SH0001990,OPP000363,Closed Lost,2025-05-01
SH0001991,OPP000364,Prospecting,2023-12-16
SH0001992,OPP000364,Discovery,2023-12-19
SH0001993,OPP000364,Demo,2023-12-22
SH0001994,OPP000364,Proposal,2023-12-25
SH0001995,OPP000364,Negotiation,2023-12-28
SH0001996,OPP000364,Closed Lost,2023-12-31
SH0001997,OPP000365,Prospecting,2025-04-08
SH0001998,OPP000365,Discovery,2025-04-28
SH0001999,OPP000365,Demo,2025-05-18
SH0002000,OPP000365,Proposal,2025-06-07
SH0002001,OPP000365,Negotiation,2025-06-27
SH0002002,OPP000365,Closed Won,2025-07-17
SH0002003,OPP000366,Prospecting,2024-12-10
SH0002004,OPP000366,Discovery,2024-12-29
SH0002005,OPP000366,Demo,2025-01-17
SH0002006,OPP000366,Proposal,2025-02-05
SH0002007,OPP000366,Negotiation,2025-02-24
SH0002008,OPP000366,Closed Lost,2025-03-15
SH0002009,OPP000367,Prospecting,2026-05-25
SH0002010,OPP000367,Discovery,2026-05-27
SH0002011,OPP000367,Demo,2026-05-29
SH0002012,OPP000367,Proposal,2026-05-31
SH0002013,OPP000367,Negotiation,2026-06-02
SH0002014,OPP000367,Closed Lost,2026-06-04
SH0002015,OPP000368,Prospecting,2025-03-25
SH0002016,OPP000368,Discovery,2025-04-11
SH0002017,OPP000368,Demo,2025-04-28
SH0002018,OPP000368,Proposal,2025-05-15
SH0002019,OPP000368,Negotiation,2025-06-01
SH0002020,OPP000368,Closed Lost,2025-06-18
SH0002021,OPP000369,Prospecting,2025-11-28
SH0002022,OPP000369,Discovery,2025-12-16
SH0002023,OPP000369,Demo,2026-01-03
SH0002024,OPP000369,Proposal,2026-01-21
SH0002025,OPP000369,Negotiation,2026-02-08
SH0002026,OPP000369,Closed Lost,2026-02-26
SH0002027,OPP000370,Prospecting,2024-12-27
SH0002028,OPP000370,Discovery,2024-12-31
SH0002029,OPP000370,Demo,2025-01-04
SH0002030,OPP000370,Proposal,2025-01-08
SH0002031,OPP000370,Negotiation,2025-01-12
SH0002032,OPP000370,Closed Lost,2025-01-16
SH0002033,OPP000371,Prospecting,2024-04-23
SH0002034,OPP000371,Discovery,2024-04-27
SH0002035,OPP000371,Demo,2024-05-01
SH0002036,OPP000371,Proposal,2024-05-05
SH0002037,OPP000371,Negotiation,2024-05-09
SH0002038,OPP000371,Closed Lost,2024-05-13
SH0002039,OPP000372,Prospecting,2026-05-25
SH0002040,OPP000372,Discovery,2026-05-31
SH0002041,OPP000372,Demo,2026-06-06
SH0002042,OPP000372,Proposal,2026-06-12
SH0002043,OPP000372,Negotiation,2026-06-18
SH0002044,OPP000372,Closed Won,2026-06-24
SH0002045,OPP000373,Prospecting,2024-09-18
SH0002046,OPP000373,Discovery,2024-09-29
SH0002047,OPP000373,Demo,2024-10-10
SH0002048,OPP000373,Proposal,2024-10-21
SH0002049,OPP000373,Negotiation,2024-11-01
SH0002050,OPP000373,Closed Won,2024-11-12
SH0002051,OPP000374,Prospecting,2025-02-11
SH0002052,OPP000374,Discovery,2025-03-01
SH0002053,OPP000374,Demo,2025-03-19
SH0002054,OPP000374,Proposal,2025-04-06
SH0002055,OPP000374,Negotiation,2025-04-24
SH0002056,OPP000374,Closed Lost,2025-05-12
SH0002057,OPP000375,Prospecting,2026-04-15
SH0002058,OPP000375,Demo,2026-05-08
SH0002059,OPP000375,Closed Lost,2026-05-31
SH0002060,OPP000376,Prospecting,2024-11-24
SH0002061,OPP000376,Discovery,2024-12-12
SH0002062,OPP000376,Demo,2024-12-30
SH0002063,OPP000376,Proposal,2025-01-17
SH0002064,OPP000376,Negotiation,2025-02-04
SH0002065,OPP000376,Closed Lost,2025-02-22
SH0002066,OPP000377,Prospecting,2025-01-24
SH0002067,OPP000377,Discovery,2025-01-27
SH0002068,OPP000377,Demo,2025-01-30
SH0002069,OPP000377,Proposal,2025-02-02
SH0002070,OPP000377,Negotiation,2025-02-05
SH0002071,OPP000377,Closed Lost,2025-02-08
SH0002072,OPP000378,Prospecting,2025-03-26
SH0002073,OPP000378,Demo,2025-04-29
SH0002074,OPP000378,Closed Lost,2025-06-02
SH0002075,OPP000379,Prospecting,2025-11-25
SH0002076,OPP000379,Discovery,2025-11-28
SH0002077,OPP000379,Demo,2025-12-01
SH0002078,OPP000379,Proposal,2025-12-04
SH0002079,OPP000379,Negotiation,2025-12-07
SH0002080,OPP000379,Closed Won,2025-12-10
SH0002081,OPP000380,Prospecting,2024-10-30
SH0002082,OPP000380,Discovery,2024-11-02
SH0002083,OPP000380,Demo,2024-11-05
SH0002084,OPP000380,Proposal,2024-11-08
SH0002085,OPP000380,Negotiation,2024-11-11
SH0002086,OPP000380,Closed Lost,2024-11-14
SH0002087,OPP000381,Prospecting,2025-10-06
SH0002088,OPP000381,Discovery,2025-10-17
SH0002089,OPP000381,Demo,2025-10-28
SH0002090,OPP000381,Proposal,2025-11-08
SH0002091,OPP000381,Negotiation,2025-11-19
SH0002092,OPP000381,Closed Lost,2025-11-30
SH0002093,OPP000382,Prospecting,2025-05-23
SH0002094,OPP000382,Discovery,2025-06-01
SH0002095,OPP000382,Demo,2025-06-10
SH0002096,OPP000382,Proposal,2025-06-19
SH0002097,OPP000382,Negotiation,2025-06-28
SH0002098,OPP000382,Closed Won,2025-07-07
SH0002099,OPP000383,Prospecting,2026-01-12
SH0002100,OPP000383,Discovery,2026-01-19
SH0002101,OPP000383,Demo,2026-01-26
SH0002102,OPP000383,Proposal,2026-02-02
SH0002103,OPP000383,Negotiation,2026-02-09
SH0002104,OPP000383,Closed Lost,2026-02-16
SH0002105,OPP000384,Prospecting,2025-01-29
SH0002106,OPP000384,Discovery,2025-02-04
SH0002107,OPP000384,Demo,2025-02-10
SH0002108,OPP000384,Proposal,2025-02-16
SH0002109,OPP000384,Negotiation,2025-02-22
SH0002110,OPP000384,Closed Won,2025-02-28
SH0002111,OPP000385,Prospecting,2025-09-06
SH0002112,OPP000385,Discovery,2025-09-21
SH0002113,OPP000385,Demo,2025-10-06
SH0002114,OPP000385,Proposal,2025-10-21
SH0002115,OPP000385,Negotiation,2025-11-05
SH0002116,OPP000385,Closed Lost,2025-11-20
SH0002117,OPP000386,Prospecting,2024-09-14
SH0002118,OPP000386,Discovery,2024-09-20
SH0002119,OPP000386,Demo,2024-09-26
SH0002120,OPP000386,Proposal,2024-10-02
SH0002121,OPP000386,Negotiation,2024-10-08
